Origin,Origin_longitude,Origin_latitude,Destination,Destination_longitude,Destination_latitude,Route,Distance_Lable,Distance_meters,Duration_minutes,Duration_min_minutes,Duration_max_minutes,Timestamp,Collected Date,Time,
Durgam Cheruvu Metro,17.442771,78.3875143,Bio Diversity Junction,17.429071,78.3764762,Hitech City Main Rd,3.4 km,3406,8,6,12,1663574400,19-09-2022,8 to 10am,
Durgam Cheruvu Metro,17.442771,78.3875143,Bio Diversity Junction,17.429071,78.3764762,Hitech City Rd and Hitech City Main Rd,4.1 km,4145,8,6,12,1663574400,19-09-2022,8 to 10am,
Hi-Tech City MMTS,17.4698751,78.3851087,Bio Diversity Junction,17.429071,78.3764762,Kukatpally Housing Board - Hitech City Rd,7.0 km,6966,14,12,18,1663574400,19-09-2022,8 to 10am,
Hi-Tech city Cyber tower,17.4507092,78.3813335,Bio Diversity Junction,17.429071,78.3764762,Hitech City Main Rd,3.4 km,3431,7,6,10,1663574400,19-09-2022,8 to 10am,
Hi-Tech city Cyber tower,17.4507092,78.3813335,Bio Diversity Junction,17.429071,78.3764762,Huda Techno Enclave Rd and Hitech City Main Rd,4.6 km,4557,12,9,18,1663574400,19-09-2022,8 to 10am,
Hi-Tech city Cyber tower,17.4507092,78.3813335,Jubilee Hills Checkpost,17.430084,78.422997,Hitech City Rd and Road Number 10,7.2 km,7155,18,12,28,1663574400,19-09-2022,8 to 10am,
Hi-Tech city Cyber tower,17.4507092,78.3813335,Jubilee Hills Checkpost,17.430084,78.422997,Road Number 10,8.0 km,8036,18,14,26,1663574400,19-09-2022,8 to 10am,
Hi-Tech city Cyber tower,17.4507092,78.3813335,Jubilee Hills Checkpost,17.430084,78.422997,Durgam Cheruvu Cable Bridge,8.8 km,8828,20,14,26,1663574400,19-09-2022,8 to 10am,
Hi-Tech city Cyber tower,17.4507092,78.3813335,Forum Sujana Mall,17.4840645,78.3890165,Kukatpally Housing Board - Hitech City Rd,4.5 km,4472,10,8,14,1663574400,19-09-2022,8 to 10am,
Hi-Tech city Cyber tower,17.4507092,78.3813335,Kothaguda X Road,17.45842,78.366142,Hitech City Rd,2.5 km,2496,8,6,12,1663574400,19-09-2022,8 to 10am,
Mind Space Junction Bus Stop,17.4392033,78.377243,Durgam Cheruvu Metro,17.442771,78.3875143,Inorbit Mall Rd,3.1 km,3106,8,6,12,1663574400,19-09-2022,8 to 10am,
Mind Space Junction Bus Stop,17.4392033,78.377243,Durgam Cheruvu Metro,17.442771,78.3875143,Hitech City Main Rd and Hitech City Rd,3.4 km,3435,9,6,16,1663574400,19-09-2022,8 to 10am,
Mind Space Junction Bus Stop,17.4392033,78.377243,Durgam Cheruvu Metro,17.442771,78.3875143,Vittal Rao Nagar Rd,3.1 km,3110,10,7,16,1663574400,19-09-2022,8 to 10am,
Mind Space Junction Bus Stop,17.4392033,78.377243,Decathlon Gachibowli,17.4462514,78.3637803,Mindspace Rd,1.9 km,1880,5,4,7,1663574400,19-09-2022,8 to 10am,
Waverock Bus Station,17.418422,78.343454,Gopanapalli Thanda,17.4474009,78.3054143,Rd Number 2 and Wipro Circle Rd,5.3 km,5265,12,8,18,1663574400,19-09-2022,8 to 10am,
Waverock Bus Station,17.418422,78.343454,Kokapet Toll Plaza,17.4071788,78.3302563,Rd Number 2 and ISB Rd,2.5 km,2548,6,4,9,1663574400,19-09-2022,8 to 10am,
